stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
2062.TW,2.48,0.716,10.561798,0.06849,0.0238,0.13006,0.05751,11.370968,0.749442,40.251,0.12443490908475204,0.01592460188495288,0.25858393081274395,0.02910326728001887,0.006757563092539541,0.5249203337589731,0.9492656669813375,0.08508737733853736,0.23015277219991806,0.15875922859183125,0.33235058382659177,0.6333325796354189
2101.TW,0.24,0.365,118.54167,0.018660001,0.010089999,0.21926,0.07916,237.08334,4.494116,9.729,0.06468169143747166,0.0013649658758531037,0.33526761919499326,0.0066023826374144836,0.08430979324921886,0.5933703292537434,0.9512308474330113,0.06494204742491073,0.29064875412842905,0.16090921240266362,0.3650169918950278,0.5978450744631487
2105.TW,2.03,0.518,16.12745,0.09522,0.04876,0.25248,0.115830004,24.310345,1.9430662,29.708,0.15648796025402467,0.012999675008124798,0.3638262753391448,0.021330944798301485,0.03147753035243512,0.5284484806929263,0.9545594005518843,0.10636209683494162,0.2418419418927029,0.16116332498175473,0.3383422031811575,0.6560938734716135
2106.TW,1.78,0.286,23.908451,0.088360004,0.028369999,0.21964,0.06706,19.073034,1.630957,36.118,0.14826185464949773,0.011374715632109199,0.3355942985849625,0.02605641071007313,0.02501374618526408,0.5333809692533388,0.9501325248711059,0.10044164872556617,0.24095342190081356,0.16054101439759336,0.3407659213487716,0.648451934865437
2108.TW,1.3,0.619,10.623145,0.06005,0.02833,0.23066999,0.07671,27.538462,1.2532381,18.043,0.11431415518020056,0.008254793630159248,0.3450765891232957,0.01273148148148148,0.017191184577143387,0.524959222505513,0.9510084598068403,0.09012995704164273,0.23354527448537626,0.15282396276295243,0.33426208861651574,0.6281492041711528
2115.TW,0.94,0.264,13.393574,0.029690001,0.028269999,0.20661,0.10047,35.47872,1.0532798,27.415,0.07790822171794592,0.005914852128696783,0.3243926342394388,0.01964054022175041,0.013050046495874277,0.5267154373357045,0.9531651659284002,0.07740941355785763,0.2321887187394054,0.14797534908366125,0.33570909192873954,0.6070906409242296
2211.TW,8.78,0.584,28.658537,0.15824,0.05847,0.33852002,0.24052,16.059225,2.3255813,27.208,0.23205785492995293,0.05687357816054599,0.43779338388267053,0.01948793937249351,0.03939942130305064,0.5363921171578275,0.9658775688040083,0.15151901743984364,0.2549114877034744,0.1990750105613007,0.34755885677112774,0.7090748340172393
2227.TW,4.58,0.571,6.9889784,0.07113,0.00641,0.12020001,0.03639,30.458515,2.2060218,88.842,0.1276006425335691,0.029574260643483917,0.2501074689224738,0.06492465793819298,0.0369233430485971,0.5226554719750692,0.9473485948732844,0.09147148232523405,0.24406164196509722,0.1672004997143243,0.33573454560028587,0.6341488694732278
2228.TW,9.02,0.645,13.361045,0.15222,0.060939997,0.25153,0.11921,12.472283,1.81139,66.035,0.22483902335348374,0.05843353916152096,0.36300957686422175,0.04811128803963199,0.02875051513867901,0.5266948167342701,0.9548662043424587,0.14362702041069425,0.2464140219869273,0.19680808135346056,0.3438610198470598,0.6981867778285109
2233.TW,9.7,0.774,13.113207,0.15861,0.07124,0.3443,0.18741,14.329897,2.1924636,56.77,0.23250153726937048,0.0628534286642834,0.44276233214697136,0.041281109931587644,0.03664255261212379,0.5265377086578368,0.9610567496913803,0.15799426817048157,0.25036081493643114,0.2003852351575708,0.3476405640779455,0.70651804337248
